col_1,Stage,Sub-Stage,Item,Well Type,Requirement - under either EPA's UIC Class VI or potentially,Adjust Capital Cost to Last Year of Permitting,Capitalize or Expense,Depreciation Category,"Well-Drilling, Monitoring, or Labor (as categorized in model","For Fin. Resp.: Corr. Action, Inject. Well Plug. or Em. & Re",Financial Responsibility Category,Categories for Detailed Cost Breakdown,Cost Component Name,Quantity,Units,Multiplier,Multiplier Units,Cost Component Name,Quantity,Units,Multiplier,Multiplier Units,Cost Component Name,Quantity
1,Site Screening for site selection,2.1 Purchase/ Acquire/ Analysis (PAA):,"Geologic data on areal extent, thickness, prospective storage resource, porosity and permeability of receiving formations and confining systems",N/A,"Yes, § 146.83",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Acquire existing data,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
2,Site Screening for site selection,2.1 Purchase/ Acquire/ Analysis (PAA):,Geophysical seismic data,N/A,"Yes, § 146.83",N/A,Capital,Seismic,Labor,Not Incl,Not Incl,Acquire existing data,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
3,Site Screening for site selection,2.1 Purchase/ Acquire/ Analysis (PAA):,Seismic (earthquake) history data,N/A,"Yes, § 146.83",N/A,Capital,Seismic,Labor,Not Incl,Not Incl,Acquire existing seismic data,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
4,Site Screening for site selection,2.1 Purchase/ Acquire/ Analysis (PAA):,Geochemical data,N/A,"Yes, § 146.83",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Acquire existing data,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
5,Site Screening for site selection,2.1 Purchase/ Acquire/ Analysis (PAA):,Geomechanical data,N/A,"Yes, § 146.83",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Acquire existing data,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
6,Site Screening for site selection,2.1 Purchase/ Acquire/ Analysis (PAA):,Land data,N/A,"Yes, § 146.83",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Acquire existing data,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
7,Site Screening for site selection,2.1 Purchase/ Acquire/ Analysis (PAA):,Software,N/A,"Yes, § 146.83",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Acquire software,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
8,Site Selection & Site Characterization,2.2 Purchase/Acquire & analyze: (data/software not acquired earlier),"Geologic data on areal extent, thickness, prospective storage resource, porosity and permeability of receiving formations and confining systems",N/A,"Yes, § 146.83",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Acquire existing data,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
9,Site Selection & Site Characterization,2.2 Purchase/Acquire & analyze: (data/software not acquired earlier),Geophysical seismic data,N/A,"Yes, § 146.83",N/A,Capital,Seismic,Labor,Not Incl,Not Incl,Acquire existing seismic data,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
10,Site Selection & Site Characterization,2.2 Purchase/Acquire & analyze: (data/software not acquired earlier),Seismic (earthquake) history data,N/A,"Yes, § 146.83",N/A,Capital,Seismic,Labor,Not Incl,Not Incl,Acquire existing data,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
11,Site Selection & Site Characterization,2.2 Purchase/Acquire & analyze: (data/software not acquired earlier),Geochemical data,N/A,"Yes, § 146.83",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Acquire existing data,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
12,Site Selection & Site Characterization,2.2 Purchase/Acquire & analyze: (data/software not acquired earlier),"Geomechanical information on fractures, stress, rock strength, in situ fluid pressures (from existing data and literature)",N/A,"Yes, § 146.83",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Acquire existing data,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
13,Site Selection & Site Characterization,2.2 Purchase/Acquire & analyze: (data/software not acquired earlier),Land data,N/A,"Yes, § 146.83",N/A,Capital,Site Sel. & Site Char.,Labor,Not Incl,Not Incl,Acquire existing data,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0,Hours,128.676,$/Hour,Engineer Labor Hours,0
14,Site Selection & Site Characterization,2.2 Purchase/Acquire & analyze: (data/software not acquired earlier),Periodic mobile survey planning Q&A,N/A,?,N/A,Capital,Site Sel. & Site Char.,Other,Not Incl,Not Incl,Acquire existing data,,,,,,,,,,,,
